表一,:,2004/05年、2009/10年及2014/15年的住戶每月平均開支比較,,,
Table 1 ,:,"Comparison of average monthly household expenditure between 2004/05, 2009/10 and 2014/15",,,

,,,平均住戶人數,住戶每月平均開支 ($),每人每月平均開支 ($)
,,,Average household size,Average monthly household expenditure ($),Average monthly per capita expenditure ($)
,2004/05,,3.1,"18,884","6,108"
,2009/10,,3,"21,623","7,137"
,2014/15,,3,"27,627","9,253"

,開支變動率,,,,
,Rate of change in expenditure,,,,
,2014/15年與2009/10年比較,,,+27.8%,+29.6%
,2014/15 compared with 2009/10,,,[+3.1%],[+4.6%]
,2009/10年與2004/05年比較,,,+14.5%,+16.9%
,2009/10 compared with 2004/05,,,[+2.8%],[+4.9%]
,2014/15年與2004/05年比較,,,+46.3%,+51.5%
,2014/15 compared with 2004/05,,,[+5.8%],[+9.6%]

,註釋：,方括號內的數字為扣除價格變動後的實質變動率。,,,
,Note: ,Figures in square brackets refer to rates of change after discounting for price changes (in real terms).,,,
