表三,:,按住戶人數及商品或服務類別劃分的每人每月平均開支,,,,,,,,
Table 3,:,Average monthly per capita expenditure by commodity/service section by household size,,,,,,,,

住戶人數,食品,住屋,電力、燃氣及水,煙酒,衣履,耐用物品,雜項物品,交通,雜項服務,所有商品或服務類別
Household size,Food,Housing,"Electricity, gas and water",Alcoholic drinks and tobacco,Clothing and footwear,Durable goods,Miscellaneous goods,Transport,Miscellaneous services,All commodity/ service sections
,($),($),($),($),($),($),($),($),($),($)
1人,"3,638","7,569",333,134,514,593,710,"1,002","1,517","16,009"
1 person,,,,,,,,,,
2人,"2,998","4,722",277,69,368,341,390,691,"1,310","11,167"
2 persons,,,,,,,,,,
3人,"2,605","3,200",255,52,304,286,356,661,"1,253","8,973"
3 persons,,,,,,,,,,
4人,"2,314","2,518",230,42,297,280,287,619,"1,481","8,068"
4 persons,,,,,,,,,,
5人,"2,177","2,695",226,31,326,285,330,957,"1,860","8,887"
5 persons,,,,,,,,,,
6人及以上,"2,012","2,333",213,27,224,170,285,476,"1,549","7,288"
6 persons and over,,,,,,,,,,
總數,"2,530","3,314",248,51,320,299,347,697,"1,448","9,253"
Overall,,,,,,,,,,
